Client_Information,Product_Information,Total_Transaction_Amount
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0002_0001,SGX_FU_NK_20100910,1.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_4321_0003_0001,CME_FU_N1_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,5.0
CL_1234_0002_0001,SGX_FU_NK_20100910,6.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-1.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-2.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-3.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
CL_1234_0002_0001,SGX_FU_NK_20100910,-4.0
